State,Lat,Lon,Occurrences
AK,66.160507,-153.369141,5
AL,32.31823,-86.902298,51
AR,34.799999,-92.199997,28
AZ,34.048927,-111.093735,31
CA,36.778259,-119.417931,186
CO,39.113014,-105.358887,21
CT,41.599998,-72.699997,7
DC,38.9072,-77.0369,23
DE,39,-75.5,9
FL,27.994402,-81.760254,167
GA,33.247875,-83.441162,93
HI,19.741755,-155.844437,1
IA,42.032974,-93.581543,6
ID,44.068203,-114.742043,1
IL,40,-89,94
IN,40.273502,-86.126976,38
KS,38.5,-98,10
KY,37.839333,-84.27002,19
LA,30.39183,-92.329102,79
MA,42.407211,-71.382439,15
MD,39.045753,-76.641273,80
ME,45.367584,-68.972168,1
MI,44.182205,-84.506836,41
MN,46.39241,-94.63623,17
MO,38.573936,-92.60376,74
MS,33,-90,37
NC,35.782169,-80.793457,77
NE,41.5,-100,8
NJ,39.833851,-74.871826,50
NM,34.307144,-106.018066,4
NV,39.876019,-117.224121,20
NY,43,-75,69
OH,40.367474,-82.996216,80
OK,36.084621,-96.921387,50
OR,44,-120.5,9
PA,41.203323,-77.194527,56
RI,41.700001,-71.5,3
SC,33.836082,-81.163727,36
TN,35.860119,-86.660156,40
TX,31,-100,153
UT,39.41922,-111.950684,8
VA,37.926868,-78.024902,48
WA,47.751076,-120.740135,25
WI,44.5,-89.5,27
WV,39,-80.5,10
